player_id,player_name,card_code,card_query,enabled,sell_through_30,sell_through_90,sellers_30,sellers_90,card_year,notes
mlb-top100-1,Jesús Made,CPA-JM,CPA-JM Bowman Chrome Auto,true,40.48,24.72,,,,
mlb-top100-2,Leo De Vries,CPA-LD,CPA-LD Bowman Chrome Auto,true,49.3,59.35,,,,
mlb-top100-4,Eli Willits,CPA-EW,CPA-EW Bowman Chrome Auto,true,54.2,64.06,,,,
mlb-top100-8,Josue De Paula,CPA-JDE,CPA-JDE Bowman Chrome Auto,true,64.71,71.6,,,,
mlb-top100-6,Kade Anderson,CPA-KA,CPA-KA Bowman Chrome Auto,true,67.12,79.06,,,,
mlb-top100-3,Seth Hernandez,CPA-SH,CPA-SH Bowman Chrome Auto,true,49.41,73.59,,,,
mlb-top100-10,Franklin Arias,CPA-FA,CPA-FA Bowman Chrome Auto,true,56.67,70.34,,,,
mlb-top100-19,Ryan Sloan,CPA-RS,CPA-RS Bowman Chrome Auto,true,53.42,69.4,,,,
mlb-top100-39,Theo Gillen,CPA-TG,CPA-TG Bowman Chrome Auto,true,74.19,83.43,,,,
mlb-top100-9,Sebastian Walcott,CPA-SW,CPA-SW Bowman Chrome Auto,true,21.28,39.62,,,,
mlb-top100-38,Mike Sirota,CPA-MS,CPA-MS Bowman Chrome Auto,true,80,78.26,,,,
mlb-top100-22,Rainiel Rodriguez,CPA-RR,CPA-RR Bowman Chrome Auto,true,42.37,62.96,,,,
mlb-top100-7,Max Clark,CPA-MC,CPA-MC Bowman Chrome Auto,true,47.46,56.1,,,,
mlb-top100-11,Walker Jenkins,CPA-WJ,CPA-WJ Bowman Chrome Auto,true,18.87,30.61,,,,
mlb-top100-28,Josuar Gonzalez,CPA-JD,CPA-JD Bowman Chrome Auto,true,41.27,66.47,,,,
mlb-top100-13,Caleb Bonemer,CPA-CBO,CPA-CBO Bowman Chrome Auto,true,24.81,54.72,,,,
mlb-top100-15,Ethan Holliday,CPA-EH,CPA-EH Bowman Chrome Auto,true,43.81,54.67,,,,
mlb-top100-16,Luis Peña,CPA-LP,CPA-LP Bowman Chrome Auto,true,29.79,43.55,,,,
mlb-top100-17,Zyhir Hope,CPA-ZH,CPA-ZH Bowman Chrome Auto,true,30.14,43.97,,,,
mlb-top100-18,George Lombard Jr.,CPA-GLO,CPA-GLO Bowman Chrome Auto,true,39.02,50,,,,
mlb-top100-12,Thomas White,CPA-TW,CPA-TW Bowman Chrome Auto,true,30.91,50.19,,,,
mlb-top100-20,Liam Doyle,CPA-LD,CPA-LD Bowman Chrome Auto,true,33.33,60.76,,,,
mlb-top100-21,Braden Montgomery,CPA-BM,CPA-BM Bowman Chrome Auto,true,51.18,59.41,,,,
mlb-top100-23,Alfredo Duno,CPA-ADU,CPA-ADU Bowman Chrome Auto,true,36,68.25,,,,
mlb-top100-24,Noah Schultz,CDA-NSZ,CDA-NSZ Bowman Chrome Auto,true,35.71,62.5,,,,
mlb-top100-26,Jamie Arnold,CPA-JA,CPA-JA Bowman Chrome Auto,true,29.21,55.29,,,,
mlb-top100-27,Lazaro Montes,CPA-LM,CPA-LM Bowman Chrome Auto,true,57.14,70,,,,
mlb-top100-29,JoJo Parker,CPA-JP,CPA-JP Bowman Chrome Auto,true,40.28,70.28,,,,
mlb-top100-30,Ryan Waldschmidt,CPA-RW,CPA-RW Bowman Chrome Auto,true,25.87,50.55,,,,
mlb-top100-14,Aidan Miller,CPA-AMI,CPA-AMI Bowman Chrome Auto,true,19.23,39.45,,,,
mlb-top100-33,Edward Florentino,CPA-EF,CPA-EF Bowman Chrome Auto,true,42.82,49.91,,,,
mlb-top100-34,Eduardo Quintero,CPA-EQ,CPA-EQ Bowman Chrome Auto,true,,,,,,
mlb-top100-35,Kaelen Culpepper,CPA-KC,CPA-KC Bowman Chrome Auto,true,36.96,51.57,,,,
mlb-top100-47,Ethan Salas,CPA-ESS,CPA-ESS Bowman Chrome Auto,true,16.67,31.43,,,,
mlb-top100-53,Luis Hernández,,,false,,,,,,No Card
mlb-top100-36,Travis Sykora,CPA-TSY,CPA-TSY Bowman Chrome Auto,true,30.95,53.85,,,,
mlb-top100-37,Gage Jump,CPA-GJ,CPA-GJ Bowman Chrome Auto,true,64.56,68.54,,,,
mlb-top100-54,Ralphy Velazquez,CDA-RV,CDA-RV Bowman Chrome Auto,true,50,74.42,,,,
mlb-top100-25,Robby Snelling,CDA-RS,CDA-RS Bowman Chrome Auto,true,,45,,,,
mlb-top100-40,Eduardo Tait,CPA-ET,CPA-ET Bowman Chrome Auto,true,6.25,28,,,,
mlb-top100-41,Bryce Rainer,CPA-BR,CPA-BR Bowman Chrome Auto,true,53.49,64.29,,,,
mlb-top100-31,Aiva Arquette,CPA-AA,CPA-AA Bowman Chrome Auto,true,59.05,65.85,,,,
mlb-top100-42,Angel Genao,CPA-AG,CPA-AG Bowman Chrome Auto,true,31.03,50.54,,,,
mlb-top100-43,Michael Arroyo,CPA-MA,CPA-MA Bowman Chrome Auto,true,33.33,57.14,,,,
mlb-top100-44,Cam Caminiti,CPA-CC,CPA-CC Bowman Chrome Auto,true,23.21,49.53,,,,
mlb-top100-46,Tyler Bremner,CPA-TB,CPA-TB Bowman Chrome Auto,true,37.33,69.12,,,,
mlb-top100-51,Arjun Nimmala,CPA-AN,CPA-AN Bowman Chrome Auto,true,23.33,50.94,,,,
mlb-top100-52,Emil Morales,CPA-EM,CPA-EM Bowman Chrome Auto,true,47.62,69.03,,,,
