player_id,mlbam_id,player_name,org,position,age,level,prospect_rank,bats,throws,on_40man,eta,height_weight,source,source_url
mlb-top100-1,815908,Jesús Made,Milwaukee Brewers,SS,19,AA,1,S,R,,2026,"6' 1"" / 221 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-2,815888,Leo De Vries,Athletics,SS,19,AA,2,S,R,,2026,"6' 0"" / 183 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-4,816113,Eli Willits,Washington Nationals,SS,18,A+,3,S,R,,2028,"6' 1"" / 180 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-8,800543,Josue De Paula,Los Angeles Dodgers,OF,21,AA,4,L,L,,2027,"6' 3"" / 185 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-6,807739,Kade Anderson,Seattle Mariners,LHP,21,AA,5,L,L,,2027,"6' 2"" / 179 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-3,815825,Seth Hernandez,Pittsburgh Pirates,RHP,20,A+,6,R,R,,2028,"6' 4"" / 190 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-10,808265,Franklin Arias,Boston Red Sox,SS,20,AA,7,R,R,,2027,"5' 11"" / 170 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-19,815549,Ryan Sloan,Seattle Mariners,RHP,20,AA,8,R,R,,2028,"6' 5"" / 220 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-39,815394,Theo Gillen,Tampa Bay Rays,OF,20,AA,9,L,R,,2028,"6' 2"" / 195 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-9,806964,Sebastian Walcott,Texas Rangers,SS/3B,20,AA,10,R,R,,2027,"6' 4"" / 190 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-38,701527,Mike Sirota,Los Angeles Dodgers,OF,23,AA,11,R,R,,2027,"6' 2"" / 188 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-22,823787,Rainiel Rodriguez,St. Louis Cardinals,C,19,AA,12,R,R,,2028,"5' 10"" / 197 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-7,703601,Max Clark,Detroit Tigers,OF,21,AAA,13,L,L,,2026,"5' 11"" / 205 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-11,805805,Walker Jenkins,Minnesota Twins,OF,21,AAA,14,L,R,,2026,"6' 3"" / 210 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-28,829034,Josuar Gonzalez,San Francisco Giants,SS,18,ROK,15,S,R,,2029,"5' 10"" / 178 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-13,815352,Caleb Bonemer,Chicago White Sox,3B/SS,20,AA,16,R,R,,2028,"6' 1"" / 195 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-15,815787,Ethan Holliday,Colorado Rockies,SS,19,A,17,L,R,,2029,"6' 2"" / 210 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-16,821270,Luis Peña,Milwaukee Brewers,INF,19,A+,18,R,R,,2028,"5' 11"" / 185 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-17,814307,Zyhir Hope,Los Angeles Dodgers,OF,21,AA,19,L,L,,2027,"5' 10"" / 193 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-18,806146,George Lombard Jr.,New York Yankees,INF,21,AAA,20,R,R,,2027,"6' 2"" / 190 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-12,806258,Thomas White,Miami Marlins,LHP,21,AAA,21,L,L,,2026,"6' 5"" / 240 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-20,824604,Liam Doyle,St. Louis Cardinals,LHP,22,AA,22,R,L,,2027,"6' 2"" / 220 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-21,695731,Braden Montgomery,Chicago White Sox,OF,23,MLB,23,S,R,true,2026,"6' 2"" / 220 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-23,806957,Alfredo Duno,Cincinnati Reds,C,20,AA,24,R,R,,2028,"6' 2"" / 210 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-24,702273,Noah Schultz,Chicago White Sox,LHP,22,MLB,25,L,L,true,2026,"6' 10"" / 240 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-26,701364,Jamie Arnold,Athletics,LHP,22,AA,26,L,L,,2027,"6' 1"" / 188 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-27,703155,Lazaro Montes,Seattle Mariners,OF,21,AA,27,L,R,,2027,"6' 5"" / 210 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-29,828098,JoJo Parker,Toronto Blue Jays,SS,19,A,28,L,R,,2029,"6' 2"" / 200 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-30,814439,Ryan Waldschmidt,Arizona Diamondbacks,OF,23,AAA,29,R,R,,2026,"6' 0"" / 205 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-14,805795,Aidan Miller,Philadelphia Phillies,SS,22,AAA,30,R,R,,2026,"6' 1"" / 205 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-33,821273,Edward Florentino,Pittsburgh Pirates,OF/1B,19,A+,31,L,R,,2028,"6' 3"" / 200 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-34,808234,Eduardo Quintero,Los Angeles Dodgers,OF,20,A+,32,R,R,,2028,"6' 1"" / 175 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-35,701785,Kaelen Culpepper,Minnesota Twins,SS,23,AAA,33,R,R,,2027,"5' 10"" / 185 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-47,806956,Ethan Salas,San Diego Padres,C,20,AA,34,L,R,,2027,"6' 1"" / 185 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-53,836582,Luis Hernández,San Francisco Giants,SS,17,ROK,35,R,R,,2030,"5' 10"" / 172 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-36,805809,Travis Sykora,Washington Nationals,RHP,22,AA,36,R,R,,2028,"6' 6"" / 232 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-37,695611,Gage Jump,Athletics,LHP,23,MLB,37,L,L,true,2026,"6' 0"" / 200 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-54,806252,Ralphy Velazquez,Cleveland Guardians,1B/OF,21,AAA,38,L,R,,2027,"6' 1"" / 240 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-25,702281,Robby Snelling,Miami Marlins,LHP,22,MLB,39,R,L,true,2026,"6' 3"" / 210 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-40,806953,Eduardo Tait,Minnesota Twins,C,19,A+,40,L,R,,2028,"6' 0"" / 175 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-41,800614,Bryce Rainer,Detroit Tigers,SS,20,A+,41,L,R,,2028,"6' 3"" / 195 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-31,804109,Aiva Arquette,Miami Marlins,SS,22,AA,42,R,R,,2028,"6' 5"" / 220 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-42,694197,Angel Genao,Cleveland Guardians,SS,22,AAA,43,S,R,,2026,"5' 11"" / 150 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-43,703197,Michael Arroyo,Seattle Mariners,2B/OF,21,AA,44,R,R,,2026,"5' 10"" / 160 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-44,807284,Cam Caminiti,Atlanta Braves,LHP,19,A+,45,L,L,,2027,"6' 2"" / 195 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-46,803285,Tyler Bremner,Los Angeles Angels,RHP,22,A+,46,R,R,,2026,"6' 2"" / 190 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-51,805796,Arjun Nimmala,Toronto Blue Jays,SS,20,A,47,R,R,,2028,"6' 0"" / 190 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-52,815896,Emil Morales,Los Angeles Dodgers,SS,19,A+,48,R,R,,2029,"6' 3"" / 191 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-63,695491,Joshua Báez,St. Louis Cardinals,OF,23,AAA,49,R,R,,2026,"6' 3"" / 220 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-56,702275,JR Ritchie,Atlanta Braves,RHP,23,AAA,50,R,R,,2026,"6' 2"" / 185 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-57,703186,Jarlin Susana,Washington Nationals,RHP,22,AA,51,R,R,,2027,"6' 6"" / 235 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-59,815929,Jhonny Level,San Francisco Giants,SS,19,A+,52,S,R,,2029,"5' 8"" / 186 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-60,829162,Steele Hall,Cincinnati Reds,SS,18,ROK,53,R,R,,2029,"5' 10"" / 180 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-66,805906,Gage Wood,Philadelphia Phillies,RHP,22,AA,54,R,R,,2027,"6' 0"" / 205 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-67,809254,Anthony Eyanson,Boston Red Sox,RHP,21,AA,55,R,R,,2027,"6' 2"" / 208 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-45,696146,Hagen Smith,Chicago White Sox,LHP,22,AAA,56,L,L,,2026,"6' 3"" / 235 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-61,806198,Cooper Pratt,Milwaukee Brewers,SS,21,MLB,57,R,R,true,2026,"6' 4"" / 210 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
mlb-top100-49,691181,Emmanuel Rodriguez,Minnesota Twins,OF,23,AAA,58,L,L,,2026,"5' 11"" / 210 lbs",MLB Pipeline Top 100 2026,https://www.mlb.com/milb/prospects/top100/
